epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,975.159,1.51274,3.73476,1.98176,0.74432,0.73571,0.82631,0.67638,1.79528,4.13005,2.1789,0.000289883,0.000289883,0.000289883
64,990.841,1.69524,3.86708,2.03886,0.72794,0.85255,0.84391,0.68729,1.78094,4.11655,2.17645,0.00027151,0.00027151,0.00027151
65,1005.67,1.55731,3.6069,2.01493,0.79083,0.76897,0.84858,0.6877,1.76573,4.14629,2.19075,0.000253137,0.000253137,0.000253137
66,1019.93,1.63014,3.66412,1.98337,0.73162,0.75,0.84035,0.69789,1.61874,4.10961,2.15274,0.000234764,0.000234764,0.000234764
67,1036.15,1.50435,3.39099,2.01003,0.8961,0.7,0.8427,0.70831,1.59537,4.09429,2.14065,0.000216391,0.000216391,0.000216391
68,1050.68,1.54411,4.96884,2.08742,0.87227,0.69863,0.84743,0.71821,1.56196,4.03246,2.13352,0.000198019,0.000198019,0.000198019
69,1064.71,1.46019,4.57257,1.96832,0.89959,0.73319,0.86024,0.73103,1.56995,4.04679,2.13102,0.000179646,0.000179646,0.000179646
70,1079.61,1.53008,5.09816,2.00821,0.89913,0.7,0.87133,0.71109,1.65404,4.0774,2.15371,0.000161273,0.000161273,0.000161273
71,1094.9,1.56794,5.33777,1.98175,0.71001,0.80714,0.87286,0.71077,1.66979,4.03239,2.13941,0.0001429,0.0001429,0.0001429
72,1110.54,1.34728,5.09003,1.88907,0.7909,0.80714,0.86616,0.71751,1.67119,3.97996,2.11585,0.000124527,0.000124527,0.000124527
73,1124.98,1.47671,4.87339,1.9702,0.78927,0.81468,0.86478,0.72952,1.64501,3.93743,2.09958,0.000106154,0.000106154,0.000106154
74,1140.4,1.49128,4.63339,1.94793,0.77557,0.83902,0.86188,0.72493,1.56009,3.93769,2.03528,8.77814e-05,8.77814e-05,8.77814e-05
75,1155.24,1.48164,5.01447,1.98494,0.80301,0.80714,0.86271,0.72624,1.53714,3.9076,2.02274,6.94086e-05,6.94086e-05,6.94086e-05
76,1169.66,1.34836,4.61064,1.85224,0.79829,0.85445,0.87108,0.73841,1.54452,3.86375,2.03563,5.10357e-05,5.10357e-05,5.10357e-05
77,1184.81,1.48721,4.86676,1.98,0.78003,0.84297,0.87166,0.73912,1.53196,3.85015,2.03013,3.26629e-05,3.26629e-05,3.26629e-05
